# amatrix benchmark baseline — 2026-04-06 11:52
# R 4.5.1 on BUC-GW02.localdomain
"op","size","backend","median_ms","speedup_vs_cpu"
"covariance","1024x128","cpu",11215.3449990728,1
"covariance","1024x128","mlx",11062.9480004718,1.01
"crossprod","1024x128","cpu",8848.10749994358,1
"crossprod","1024x128","mlx",8760.03949997539,1.01
"dist","1024x128","cpu",2445.99849975202,1
"dist","1024x128","mlx",2510.88100048946,0.97
"many_lm","1024x128","cpu",10789.088499223,1
"many_lm","1024x128","mlx",10795.013000461,1
"matmul","1024x128","cpu",5759.72099977662,1
"matmul","1024x128","mlx",5680.01700048626,1.01
"rsvd","1024x128","cpu",13202.0409982943,1
"rsvd","1024x128","mlx",12607.7049990272,1.05
"covariance","256x32","cpu",2774.67500200146,1
"covariance","256x32","mlx",2886.27699774224,0.96
"crossprod","256x32","cpu",990.191001619678,1
"crossprod","256x32","mlx",1022.33500001603,0.97
"dist","256x32","cpu",1633.95250092435,1
"dist","256x32","mlx",1553.24399929668,1.05
"many_lm","256x32","cpu",1277.88800091366,1
"many_lm","256x32","mlx",1286.39550166554,0.99
"matmul","256x32","cpu",830.167999083642,1
"matmul","256x32","mlx",844.57950470096,0.98
"rsvd","256x32","cpu",1538.03299872379,1
"rsvd","256x32","mlx",1665.33800074831,0.92
"covariance","4096x128","cpu",40490.3085000115,1
"covariance","4096x128","mlx",39584.8645002843,1.02
"crossprod","4096x128","cpu",34035.4734980792,1
"crossprod","4096x128","mlx",34537.6209970709,0.99
"dist","4096x128","cpu",2613.85249905288,1
"dist","4096x128","mlx",2567.66600068659,1.02
"many_lm","4096x128","cpu",41899.1505011945,1
"many_lm","4096x128","mlx",41019.8850004235,1.02
"matmul","4096x128","cpu",19209.9350006174,1
"matmul","4096x128","mlx",19470.5515023088,0.99
"rsvd","4096x128","cpu",50610.1539995143,1
"rsvd","4096x128","mlx",50885.5304997269,0.99
